N,E,R,time
50,100,20,40
50,100,20,39
50,100,20,39
50,100,20,43
50,100,20,44
50,100,20,37
50,100,20,42
50,100,20,44
50,100,20,46
50,100,20,38
50,100,20,26
50,100,20,25
50,100,20,40
50,100,20,44
50,100,20,22
50,100,20,33
50,100,20,32
50,100,20,30
50,100,20,36
50,100,20,28
50,100,20,42
50,100,20,35
50,100,20,27
50,100,20,45
50,100,20,48
50,100,20,29
50,100,20,25
50,100,20,49
50,100,20,23
50,100,20,29
50,100,20,27
50,100,20,33
50,100,20,32
50,100,20,41
50,100,20,44
50,100,20,58
50,100,20,35
50,100,20,38
50,100,20,47
50,100,20,21
50,100,20,31
50,100,20,23
50,100,20,62
50,100,20,38
50,100,20,44
50,100,20,34
50,100,20,30
50,100,20,28
50,100,20,30
50,100,20,43
50,100,20,56
50,100,20,26
50,100,20,35
50,100,20,25
50,100,20,39
50,100,20,54
50,100,20,43
50,100,20,28
50,100,20,27
50,100,20,21
50,100,20,43
50,100,20,34
50,100,20,34
50,100,20,33
50,100,20,38
50,100,20,46
50,100,20,53
50,100,20,39
50,100,20,22
50,100,20,43
50,100,20,36
50,100,20,46
50,100,20,53
50,100,20,46
50,100,20,25
50,100,20,41
50,100,20,21
50,100,20,28
50,100,20,27
50,100,20,21
50,100,20,29
50,100,20,28
50,100,20,37
50,100,20,23
50,100,20,33
50,100,20,40
50,100,20,29
50,100,20,21
50,100,20,34
50,100,20,30
50,100,20,41
50,100,20,26
50,100,20,43
50,100,20,40
50,100,20,37
50,100,20,41
50,100,20,36
50,100,20,28
50,100,20,34
50,100,20,37
50,100,20,29
50,100,20,29
50,100,20,26
50,100,20,47
50,100,20,39
50,100,20,38
50,100,20,35
50,100,20,46
50,100,20,33
50,100,20,22
50,100,20,34
50,100,20,24
50,100,20,41
50,100,20,36
50,100,20,26
50,100,20,19
50,100,20,44
50,100,20,25
50,100,20,39
50,100,20,51
50,100,20,41
50,100,20,40
50,100,20,29
50,100,20,42
50,100,20,44
50,100,20,37
50,100,20,32
50,100,20,30
50,100,20,39
50,100,20,34
50,100,20,37
50,100,20,31
50,100,20,28
50,100,20,28
50,100,20,25
50,100,20,37
50,100,20,39
50,100,20,30
50,100,20,33
50,100,20,37
50,100,20,26
50,100,20,34
50,100,20,35
50,100,20,44
50,100,20,42
50,100,20,36
50,100,20,42
50,100,20,46
50,100,20,35
50,100,20,57
50,100,20,31
50,100,20,44
50,100,20,41
50,100,20,32
50,100,20,33
50,100,20,24
50,100,20,36
50,100,20,34
50,100,20,34
50,100,20,37
50,100,20,29
50,100,20,22
50,100,20,37
50,100,20,33
50,100,20,38
50,100,20,18
50,100,20,32
50,100,20,35
50,100,20,50
50,100,20,29
50,100,20,33
50,100,20,35
50,100,20,40
50,100,20,43
50,100,20,36
50,100,20,32
50,100,20,43
50,100,20,30
50,100,20,46
50,100,20,28
50,100,20,33
50,100,20,26
50,100,20,41
50,100,20,29
50,100,20,19
50,100,20,22
50,100,20,42
50,100,20,39
50,100,20,26
50,100,20,47
50,100,20,27
50,100,20,34
50,100,20,39
50,100,20,48
50,100,20,41
50,100,20,33
50,100,20,39
50,100,20,52
50,100,20,35
50,100,20,36
50,100,20,24
50,100,20,37
50,100,20,43
50,100,20,34
50,100,20,50
50,100,20,18
50,100,20,29
50,100,20,33
50,100,20,37
50,100,20,33
50,100,20,27
50,100,20,26
50,100,20,54
50,100,20,46
50,100,20,64
50,100,20,56
50,100,20,24
50,100,20,37
50,100,20,26
50,100,20,24
50,100,20,30
50,100,20,32
50,100,20,35
50,100,20,43
50,100,20,49
50,100,20,32
50,100,20,29
50,100,20,22
50,100,20,37
50,100,20,37
50,100,20,24
50,100,20,28
50,100,20,32
50,100,20,31
50,100,20,57
50,100,20,36
50,100,20,46
50,100,20,23
50,100,20,20
50,100,20,30
50,100,20,40
50,100,20,32
50,100,20,20
50,100,20,49
50,100,20,33
50,100,20,30
50,100,20,25
50,100,20,46
50,100,20,28
50,100,20,47
